domain,module,status,completion_percent,evidence,tests,risks,next_action
Git,Depot,ABSENT,0,"git status echoue; aucun .git trouve","git status KO","perte de tracabilite","rattacher ou initialiser Git"
Frontend,Accueil,PARTIEL,55,"route /fr riche dans frontend/src/app/[locale]/page.tsx","build KO","contenu non valide; images absentes","corriger build/assets puis valider contenu"
Frontend,A propos,PARTIEL,50,"about/page.tsx present","build KO","surface 40 ha contradictoire","reecrire avec donnees confirmees"
Frontend,Produits,PARTIEL,45,"catalogue statique dans products/page.tsx","build KO","prix/volumes/disponibilites non confirmes","classer produits reels/provisoires"
Frontend,Details produit,BLOQUE,15,"fetch API /api/products/:slug","API non executable","404 si backend absent","stabiliser API ou fallback"
Frontend,Blog,BLOQUE,15,"fetch API /api/blog","API non executable","aucune actualite reelle","decider blog/CMS"
Frontend,Contact,PARTIEL,35,"ContactForm POST /api/contact","backend non executable","spam; pas de consentement","securiser et tester bout en bout"
Frontend,Services,PARTIEL,35,"feedmill riche; autres pages courtes","build KO","promesses commerciales non validees","confirmer ou reduire"
Frontend,Images,PARTIEL,60,"42 fichiers images; references absentes","rg references","images cassees","corriger noms/fichiers"
Admin,Dashboard,SQUELETTE OU MOCK,10,"cartes statiques avec tirets","npm run build KO","admin inutilisable","installer/proteger/connecter ou retirer"
Admin,CRUD contenu,SQUELETTE OU MOCK,5,"pages Chargement... sans fetch","npm run build KO","faux CMS","decider CMS MVP"
Backend,Package,BLOQUE,0,"backend/package.json vide","aucune commande possible","API non installable","restaurer manifest"
Backend,Auth,PARTIEL,25,"controllers/services JWT presents","non executable","register public; seed faible","durcir apres installation"
Backend,Produits categories,PARTIEL,25,"CRUD Prisma present","non executable","validation/permissions incompletes","tester et securiser"
Backend,Contact,PARTIEL,25,"stockage contact Prisma","non executable","spam; pas de mail","rate limit et notification"
Backend,Orders,HORS PERIMETRE ACTUEL,20,"module orders present","non executable","complexite marketplace","mettre backlog futur"
Database,Prisma schema,PARTIEL,25,"schema.prisma present","pas de migration","schema non applique","creer migrations apres decision"
DevOps,Docker Nginx,SQUELETTE OU MOCK,0,"docker-compose.yml et nginx.conf vides","aucun","deploiement non reproductible","definir hebergement"
SEO,Metadonnees,PARTIEL,30,"metadata globale et deux pages","build KO","SEO local incomplet","ajouter sitemap robots schema"
Accessibilite,Base,PARTIEL,35,"labels formulaire visibles; alt parfois decoratif","non teste navigateur","focus/menu a valider","audit clavier/contraste"
Performance,Mobile,PARTIEL,30,"images nombreuses; CDN Font Awesome; Poppins 6 graisses","build KO","chargement lourd","optimiser images/fonts/icons"
Security,Dependances,PARTIEL,20,"npm audit signale Next/PostCSS","npm audit KO","vulnerabilites connues","upgrade controle apres stabilisation"
Legal,Confidentialite,ABSENT,0,"aucune route legal/privacy","non applicable","collecte donnees sans politique","ajouter pages a valider"
